"Code","market"
"AR0018","Little Rock-North Little Rock, AR CSA"
"AR0028","Sebastian:AR"
"AR0035","Hempstead:AR"
"AR0056","Conway:AR"
"AR0073","Arkansas:AR"
"AR0084","Phillips:AR"
"AR0017","Cleburne:AR"
"AR0120","Columbia:AR"
"AR0335","Little Rock-North Little Rock, AR CSA"
"AR0020","Memphis-Forrest City, TN-MS-AR CSA"
"AR0022","Dallas:AR"
"AR0023","Desha:AR"
"AR0024","Drew:AR"
"AR0074","Washington:AR"
"AR0334","Hot Springs-Malvern, AR CSA"
"AR0039","Jackson:AR"
"AR0042","Johnson:AR"
"AR0179","Jonesboro-Paragould, AR CSA"
"AR0050","Little Rock-North Little Rock, AR CSA"
"AR0053","Mississippi:AR"
"AR0054","Little Rock-North Little Rock, AR CSA"
"AR0057","Nevada:AR"
"AR0101","Little Rock-North Little Rock, AR CSA"
"AR0033","Jonesboro-Paragould, AR CSA"
"AR0087","Yell:AR"
"AR0173","Little Rock-North Little Rock, AR CSA"
"AR0063","Pike:AR"
"AR0065","Jonesboro-Paragould, AR CSA"
"AR0067","Baxter:AR"
"AR0044","Prairie:AR"
"AR0153","Little Rock-North Little Rock, AR CSA"
"AR0069","Sevier:AR"
"AR0059","Little Rock-North Little Rock, AR CSA"
"AR0162","Howard:AR"
"AR0041","Little Rock-North Little Rock, AR CSA"
"AR0026","Union:AR"
"AR0090","Clark:AR"
"AR0236","Baxter:AR"
"AR0190","Ashley:AR"
"AR0338","Little Rock-North Little Rock, AR CSA"
"AR0332","Washington:AR"
"AR0272","Carroll:AR"
"AR0326","Little Rock-North Little Rock, AR CSA"
"AR0322","Benton:AR"
"AR0107","Ouachita:AR"
"AR0174","Ouachita:AR"
"AR0240","Arkansas:AR"
"AR0269","Hot Springs-Malvern, AR CSA"
"AR0313","Jonesboro-Paragould, AR CSA"
"AR0231","Little Rock-North Little Rock, AR CSA"
"AR0234","Jackson:AR"
"AR0261","Franklin:AR"
"AR0252","Logan:AR"
"AR0233","Little Rock-North Little Rock, AR CSA"
"AR0329","Benton:AR"
"AR0177","Arkansas:AR"
"AR0178","Scott:AR"
"AR0205","Jonesboro-Paragould, AR CSA"
"AR0242","Dallas:AR"
"AR0219","Dallas:AR"
"AR0249","Desha:AR"
"AR0274","Lawrence:AR"
"AR0198","Carroll:AR"
"AR0182","Carroll:AR"
"AR0230","Washington:AR"
"AR0318","Washington:AR"
"AR0245","Hot Springs-Malvern, AR CSA"
"AR0262","Hot Springs-Malvern, AR CSA"
"AR0185","Hot Springs-Malvern, AR CSA"
"AR0349","Little Rock-North Little Rock, AR CSA"
"AR0330","Prairie:AR"
"AR0361","Little Rock-North Little Rock, AR CSA"
"AR0275","Hot Springs-Malvern, AR CSA"
"AR0276","Hot Springs-Malvern, AR CSA"
"AR0277","Hot Springs-Malvern, AR CSA"
"AR0278","Hot Springs-Malvern, AR CSA"
"AR0279","Hot Springs-Malvern, AR CSA"
"AR0280","Hot Springs-Malvern, AR CSA"
"AR0281","Hot Springs-Malvern, AR CSA"
"AR0282","Hot Springs-Malvern, AR CSA"
"AR0284","Hot Springs-Malvern, AR CSA"
"AR0180","Independence:AR"
"AR0351","Benton:AR"
"AR0254","Johnson:AR"
"AR0096","Lafayette:AR"
"AR0212","Little Rock-North Little Rock, AR CSA"
"AR0175","Little River:AR"
"AR0317","Little Rock-North Little Rock, AR CSA"
"AR0292","Little Rock-North Little Rock, AR CSA"
"AR0297","Little Rock-North Little Rock, AR CSA"
"AR0194","Little Rock-North Little Rock, AR CSA"
"AR0293","Little Rock-North Little Rock, AR CSA"
"AR0294","Little Rock-North Little Rock, AR CSA"
"AR0295","Little Rock-North Little Rock, AR CSA"
"AR0193","Madison:AR"
"AR0341","Jonesboro-Paragould, AR CSA"
"AR0045","Benton:AR"
"AR0215","Marion:AR"
"AR0340","Boone:AR"
"AR0305","Boone:AR"
"AR0207","Miller:AR"
"AR0208","Miller:AR"
"AR0291","Monroe:AR"
"AR0176","Montgomery:AR"
"AR0285","Drew:AR"
"AR0170","Drew:AR"
"AR0181","Nevada:AR"
"AR0195","Nevada:AR"
"AR0303","Newton:AR"
"AR0186","Montgomery:AR"
"AR0348","Little Rock-North Little Rock, AR CSA"
"AR0346","Little Rock-North Little Rock, AR CSA"
"AR0260","Pope:AR"
"AR0350","Benton:AR"
"AR0218","Pope:AR"
"AR0258","Little Rock-North Little Rock, AR CSA"
"AR0328","Little Rock-North Little Rock, AR CSA"
"AR0273","Sevier:AR"
"AR0256","Polk:AR"
"AR0271","Stone:AR"
"AR0355","Boone:AR"
"AR0354","Jonesboro-Paragould, AR CSA"
"AR0353","Little Rock-North Little Rock, AR CSA"
"AR0336","Van Buren:AR"
"AR0325","Crawford:AR"
"AR0095","Bradley:AR"
"AR0327","Little Rock-North Little Rock, AR CSA"
"AR0105","Woodruff:AR"
"AR0116","Cross:AR"
"AZ0040","Phoenix-Mesa, AZ CSA"
"AZ0058","Tucson-Nogales, AZ CSA"
"AZ0065","Phoenix-Mesa, AZ CSA"
"AZ0002","Apache:AZ"
"AZ0014","Phoenix-Mesa, AZ CSA"
"AZ0034","Phoenix-Mesa, AZ CSA"
"AZ0455","Phoenix-Mesa, AZ CSA"
"AZ0066","Phoenix-Mesa, AZ CSA"
"AZ0049","Mohave:AZ"
"AZ0010","Coconino:AZ"
"AZ0050","Mohave:AZ"
"AZ0386","Yuma:AZ"
"AZ0347","Yuma:AZ"
"AZ0117","Phoenix-Mesa, AZ CSA"
"AZ0469","Tucson-Nogales, AZ CSA"
"AZ0068","Phoenix-Mesa, AZ CSA"
"AZ0231","Phoenix-Mesa, AZ CSA"
"AZ0069","Phoenix-Mesa, AZ CSA"
"AZ0038","Phoenix-Mesa, AZ CSA"
"AZ0121","Yavapai:AZ"
"AZ0007","Cochise:AZ"
"AZ0468","Tucson-Nogales, AZ CSA"
"AZ0064","Phoenix-Mesa, AZ CSA"
"AZ0113","La Paz:AZ"
"AZ0119","Mohave:AZ"
"AZ0027","Greenlee:AZ"
"AZ0061","Tucson-Nogales, AZ CSA"
"AZ0442","Phoenix-Mesa, AZ CSA"
"AZ0498","Tucson-Nogales, AZ CSA"
"AZ0053","Mohave:AZ"
"AZ0042","Phoenix-Mesa, AZ CSA"
"AZ0056","Navajo:AZ"
"AZ0075","Tucson-Nogales, AZ CSA"
"AZ0461","Yavapai:AZ"
"AZ0505","Phoenix-Mesa, AZ CSA"
"AZ0076","Tucson-Nogales, AZ CSA"
"AZ0015","Phoenix-Mesa, AZ CSA"
"AZ0024","Graham:AZ"
"AZ0098","Phoenix-Mesa, AZ CSA"
"AZ0077","Tucson-Nogales, AZ CSA"
"AZ0419","Yuma:AZ"
"AZ0223","Phoenix-Mesa, AZ CSA"
"AZ0146","Tucson-Nogales, AZ CSA"
"AZ0443","Phoenix-Mesa, AZ CSA"
"AZ0063","Tucson-Nogales, AZ CSA"
"AZ0132","Cochise:AZ"
"AZ0115","Phoenix-Mesa, AZ CSA"
"AZ0460","Phoenix-Mesa, AZ CSA"
"AZ0047","Phoenix-Mesa, AZ CSA"
"AZ0421","Cochise:AZ"
"AZ0120","Yuma:AZ"
"AZ0031","Phoenix-Mesa, AZ CSA"
"AZ0405","Phoenix-Mesa, AZ CSA"
"AZ0424","Phoenix-Mesa, AZ CSA"
"AZ0422","Yuma:AZ"
"AZ0366","Apache:AZ"
"AZ0364","Yavapai:AZ"
"AZ0205","Cochise:AZ"
"AZ0451","Phoenix-Mesa, AZ CSA"
"AZ0206","Cochise:AZ"
"AZ0384","Yavapai:AZ"
"AZ0358","La Paz:AZ"
"AZ0387","Cochise:AZ"
"AZ0385","Yavapai:AZ"
"AZ0059","Tucson-Nogales, AZ CSA"
"AZ0425","Phoenix-Mesa, AZ CSA"
"AZ0473","Phoenix-Mesa, AZ CSA"
"AZ0475","Phoenix-Mesa, AZ CSA"
"AZ0479","Phoenix-Mesa, AZ CSA"
"AZ0382","La Paz:AZ"
"AZ0417","Coconino:AZ"
"AZ0343","Yavapai:AZ"
"AZ0353","Coconino:AZ"
"AZ0399","Tucson-Nogales, AZ CSA"
"AZ0367","Apache:AZ"
"AZ0100","Yavapai:AZ"
"AZ0381","Yavapai:AZ"
"AZ0410","Phoenix-Mesa, AZ CSA"
"AZ0389","Cochise:AZ"
"AZ0208","Cochise:AZ"
"AZ0388","Cochise:AZ"
"AZ0359","La Paz:AZ"
"AZ0470","Cochise:AZ"
"AZ0420","Coconino:AZ"
"AZ0490","Coconino:AZ"
"AZ0450","Phoenix-Mesa, AZ CSA"
"AZ0447","Tucson-Nogales, AZ CSA"
"AZ0481","Phoenix-Mesa, AZ CSA"
"AZ0452","Phoenix-Mesa, AZ CSA"
"AZ0357","Greenlee:AZ"
"AZ0471","Phoenix-Mesa, AZ CSA"
"AZ0503","Phoenix-Mesa, AZ CSA"
"AZ0377","Phoenix-Mesa, AZ CSA"
"AZ0435","Coconino:AZ"
"AZ0096","Phoenix-Mesa, AZ CSA"
"AZ0415","Coconino:AZ"
"AZ0436","Coconino:AZ"
"AZ0380","Phoenix-Mesa, AZ CSA"
"AZ0360","Navajo:AZ"
"AZ0487","Yavapai:AZ"
"AZ0488","Yavapai:AZ"
"AZ0099","Yavapai:AZ"
"AZ0440","Phoenix-Mesa, AZ CSA"
"AZ0464","La Paz:AZ"
"AZ0432","Coconino:AZ"
"AZ0426","Phoenix-Mesa, AZ CSA"
"AZ0427","Phoenix-Mesa, AZ CSA"
"AZ0457","Phoenix-Mesa, AZ CSA"
"AZ0361","Yuma:AZ"
"AZ0504","Phoenix-Mesa, AZ CSA"
"AZ0368","Apache:AZ"
"AZ0094","Phoenix-Mesa, AZ CSA"
"AZ0423","Phoenix-Mesa, AZ CSA"
"AZ0383","La Paz:AZ"
"AZ0500","Yavapai:AZ"
"AZ0477","Phoenix-Mesa, AZ CSA"
"AZ0448","Phoenix-Mesa, AZ CSA"
"AZ0400","Navajo:AZ"
"AZ0437","La Paz:AZ"
"AZ0428","Phoenix-Mesa, AZ CSA"
"AZ0480","Phoenix-Mesa, AZ CSA"
"AZ0485","Phoenix-Mesa, AZ CSA"
"AZ0376","Phoenix-Mesa, AZ CSA"
"AZ0449","Phoenix-Mesa, AZ CSA"
"AZ0483","Tucson-Nogales, AZ CSA"
"AZ0507","Phoenix-Mesa, AZ CSA"
"AZ0506","Phoenix-Mesa, AZ CSA"
"AZ0486","Phoenix-Mesa, AZ CSA"
"AZ0478","Tucson-Nogales, AZ CSA"
"AZ0395","Apache:AZ"
"AZ0091","Tucson-Nogales, AZ CSA"
"AZ0502","Tucson-Nogales, AZ CSA"
"AZ0202","La Paz:AZ"
"AZ0167","Cochise:AZ"
"AZ0474","Phoenix-Mesa, AZ CSA"
"AZ0369","Apache:AZ"
"AZ0454","Yavapai:AZ"
"AZ0397","Yavapai:AZ"
"AZ0472","Phoenix-Mesa, AZ CSA"
"AZ0372","Cochise:AZ"
"AZ0495","Tucson-Nogales, AZ CSA"
"AZ0101","Yavapai:AZ"
"AZ0122","Phoenix-Mesa, AZ CSA"
"AZ0391","Cochise:AZ"
"AZ0392","Cochise:AZ"
"AZ0393","Cochise:AZ"
"AZ0489","Yuma:AZ"
"AZ0401","Tucson-Nogales, AZ CSA"
"AZ0209","Cochise:AZ"
"AZ0190","Phoenix-Mesa, AZ CSA"
"AZ0412","Coconino:AZ"
"AZ0396","Tucson-Nogales, AZ CSA"
"AZ0411","Tucson-Nogales, AZ CSA"
"AZ0375","Phoenix-Mesa, AZ CSA"
"AZ0370","Apache:AZ"
"AZ0203","La Paz:AZ"
"AZ0362","Yuma:AZ"
"AZ0204","La Paz:AZ"
"AZ0476","Phoenix-Mesa, AZ CSA"
"AZ0429","Phoenix-Mesa, AZ CSA"
"AZ0430","Coconino:AZ"
"AZ0210","Cochise:AZ"
"AZ0378","Tucson-Nogales, AZ CSA"
"CA2721","Los Angeles-Long Beach, CA CSA"
"CA0469","Los Angeles-Long Beach, CA CSA"
"CA0466","Los Angeles-Long Beach, CA CSA"
"CA0467","San Jose-San Francisco-Oakland, CA CSA"
"CA4933","Los Angeles-Long Beach, CA CSA"
"CA3642","Redding-Red Bluff, CA CSA"
"CA0009","San Jose-San Francisco-Oakland, CA CSA"
"CA0489","Los Angeles-Long Beach, CA CSA"
"CA0297","San Jose-San Francisco-Oakland, CA CSA"
"CA0015","Fresno-Madera-Hanford, CA CSA"
"CA0180","Redding-Red Bluff, CA CSA"
"CA0049","Los Angeles-Long Beach, CA CSA"
"CA4871","Los Angeles-Long Beach, CA CSA"
"CA0595","Fresno-Madera-Hanford, CA CSA"
"CA0485","Los Angeles-Long Beach, CA CSA"
"CA0102","Los Angeles-Long Beach, CA CSA"
"CA0093","Kern:CA"
"CA0129","Los Angeles-Long Beach, CA CSA"
"CA0455","Lassen:CA"
"CA0599","Sacramento-Roseville, CA CSA"
"CA0083","Mono:CA"
"CA0081","San Jose-San Francisco-Oakland, CA CSA"
"CA0449","Inyo:CA"
"CA0100","Los Angeles-Long Beach, CA CSA"
"CA0031","Kern:CA"
"CA0459","San Diego:CA"
"CA0048","Los Angeles-Long Beach, CA CSA"
"CA0179","San Jose-San Francisco-Oakland, CA CSA"
"CA0052","Los Angeles-Long Beach, CA CSA"
"CA0476","Los Angeles-Long Beach, CA CSA"
"CA0021","Imperial:CA"
"CA0122","Los Angeles-Long Beach, CA CSA"
"CA0604","San Luis Obispo:CA"
"CA4988","Los Angeles-Long Beach, CA CSA"
"CA4987","Los Angeles-Long Beach, CA CSA"
"CA2634","Plumas:CA"
"CA0160","San Luis Obispo:CA"
"CA0055","Los Angeles-Long Beach, CA CSA"
"CA0013","Fresno-Madera-Hanford, CA CSA"
"CA0166","Santa Barbara:CA"
"CA0143","Los Angeles-Long Beach, CA CSA"
"CA0159","San Luis Obispo:CA"
"CA0133","Los Angeles-Long Beach, CA CSA"
"CA4785","Fresno-Madera-Hanford, CA CSA"
"CA0110","Los Angeles-Long Beach, CA CSA"
"CA4306","Sacramento-Roseville, CA CSA"
"CA0596","Lake:CA"
"CA0590","Kern:CA"
"CA0157","San Luis Obispo:CA"
"CA0114","Los Angeles-Long Beach, CA CSA"
"CA0488","Los Angeles-Long Beach, CA CSA"
"CA0067","Fresno-Madera-Hanford, CA CSA"
"CA0195","San Jose-San Francisco-Oakland, CA CSA"
"CA2815","Sacramento-Roseville, CA CSA"
"CA0154","San Jose-San Francisco-Oakland, CA CSA"
"CA2904","Los Angeles-Long Beach, CA CSA"
"CA0494","Los Angeles-Long Beach, CA CSA"
"CA0156","San Jose-San Francisco-Oakland, CA CSA"
"CA0097","Los Angeles-Long Beach, CA CSA"
"CA0150","San Jose-San Francisco-Oakland, CA CSA"
"CA0017","Glenn:CA"
"CA0174","San Jose-San Francisco-Oakland, CA CSA"
"CA1358","Kern:CA"
"CA0187","San Jose-San Francisco-Oakland, CA CSA"
"CA0080","San Jose-San Francisco-Oakland, CA CSA"
"CA0607","Los Angeles-Long Beach, CA CSA"
"CA0302","Imperial:CA"
"CA0025","Imperial:CA"
"CA0020","Imperial:CA"
"CA0588","Imperial:CA"
"CA0247","Inyo:CA"
"CA2695","Los Angeles-Long Beach, CA CSA"
"CA0121","San Jose-San Francisco-Oakland, CA CSA"
"CA0085","Monterey:CA"
"CA0470","San Jose-San Francisco-Oakland, CA CSA"
"CA0117","Sacramento-Roseville, CA CSA"
"CA0173","San Jose-San Francisco-Oakland, CA CSA"
"CA3803","San Jose-San Francisco-Oakland, CA CSA"
"CA0999","Fresno-Madera-Hanford, CA CSA"
"CA0120","Sacramento-Roseville, CA CSA"
"CA0103","Los Angeles-Long Beach, CA CSA"
"CA0054","Los Angeles-Long Beach, CA CSA"
"CA0136","Los Angeles-Long Beach, CA CSA"
"CA0084","San Jose-San Francisco-Oakland, CA CSA"
"CA0303","Inyo:CA"
"CA0506","Sierra:CA"
"CA0070","Mariposa:CA"
"CA0040","Kern:CA"
"CA0113","Los Angeles-Long Beach, CA CSA"
"CA0691","Imperial:CA"
"CA0135","Los Angeles-Long Beach, CA CSA"
"CA0147","San Diego:CA"
"CA0286","Kern:CA"
"CA0088","Monterey:CA"
"CA0299","Butte:CA"
"CA0171","San Jose-San Francisco-Oakland, CA CSA"
"CA0451","Imperial:CA"
"CA0109","Los Angeles-Long Beach, CA CSA"
"CA0450","Imperial:CA"
"CA0096","Los Angeles-Long Beach, CA CSA"
"CA4238","Sacramento-Roseville, CA CSA"
"CA0146","San Diego:CA"
"CA0161","San Jose-San Francisco-Oakland, CA CSA"
"CA0170","San Jose-San Francisco-Oakland, CA CSA"
"CA0023","Imperial:CA"
"CA2945","Los Angeles-Long Beach, CA CSA"
"CA2703","Los Angeles-Long Beach, CA CSA"
"CA0026","Imperial:CA"
"CA0190","San Jose-San Francisco-Oakland, CA CSA"
"CA0095","Los Angeles-Long Beach, CA CSA"
"CA0056","Los Angeles-Long Beach, CA CSA"
"CA2304","Mono:CA"
"CA0197","Redding-Red Bluff, CA CSA"
"CA0068","San Jose-San Francisco-Oakland, CA CSA"
"CA0037","Kern:CA"
"CA0006","Calaveras:CA"
"CA0012","Imperial:CA"
"CA1613","Los Angeles-Long Beach, CA CSA"
"CA0142","Los Angeles-Long Beach, CA CSA"
"CA0176","San Jose-San Francisco-Oakland, CA CSA"
"CA0165","Santa Barbara:CA"
"CA0062","Los Angeles-Long Beach, CA CSA"
"CA0050","Los Angeles-Long Beach, CA CSA"
"CA0058","Los Angeles:CA"
"CA0036","Kern:CA"
"CA0255","Inyo:CA"
"CA0206","Los Angeles-Long Beach, CA CSA"
