"market","Operator_Code","count","total_waste"
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","DAWSON COUNTY",1,63
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","DEKALB COUNTY",3,2239.89
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","DOUGLAS COUNTY",1,94.27
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","FORSYTH COUNTY",2,42.5
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","FULTON COUNTY",1,300
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","GFL",6,2276.13
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","HABERSHAM COUNTY",1,117.96
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","HALL COUNTY",2,442.32
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","HARALSON COUNTY",1,100
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","HARRIS CONTAINERS",1,300
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","JACKSON COUNTY",1,63
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","KEEP NORTH FULTON BEAUTIFUL",1,63
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","LAMAR COUNTY REGIONAL SOLID WASTE AUTHORITY",1,142.09
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","MADISON COUNTY",1,12.5
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","MORGAN COUNTY",1,100
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","NEWTON COUNTY",1,241.9
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","PAULDING COUNTY",1,0.18
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","PIKE COUNTRYSIDE SANITATION",1,63
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","PRATT",2,363
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","REPUB",8,8027.31
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","RIVERLINE RECYCLING",1,63
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","ROCK",4,875
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","ROME FLOYD COUNTY RECYCLING CENTER",1,25
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","ROME FLOYD SW MANAGEMENT COMMISSION",1,379.9
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","S&B ROLLOFF",1,63
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","SON",1,63
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","SPREC",2,390
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","STRATEGIC MATERIAL",1,12.5
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","WM",10,8611.99
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA","WPRO",1,150
"Atoka:OK","CITY OF ATOKA",1,0
"Attala:MS","WM",1,95.64
"Audubon:IA","AUDUBON COUNTY",1,5.18
"Avery:NC","AVERY COUNTY",1,39.12
"Baca:CO","CITY OF SPRINGFIELD",1,11.13
"Baca:CO","TOWN OF PRITCHETT",1,1.01
"Baca:CO","TOWN OF TWO BUTTES",1,0.13
"Baca:CO","TOWN OF WALSH",1,3.2
"Bailey:TX","CITY OF MULESHOE",1,31.27
"Baker:OR","BAKER SANITARY SERVICE",1,125.93
"Baker:OR","CITY OF HAINES",1,1.64
"Baker:OR","CITY OF HUNTINGTON",1,4.58
"Baker:OR","CITY OF UNITY",1,0.63
"Baker:OR","LARUE SANITARY SERVICE",1,19.54
"Baldwin:GA","AIGH",1,0
"Baldwin:GA","BALDWIN COUNTY",1,0
"Bamberg:SC","BAMBERG COUNTY",3,94.9
"Banks:GA","WM",1,4116.76
"Bannock:ID","BANNOCK COUNTY",2,392.5
"Bannock:ID","WESTERN RECYCLING",1,63
"Barber:KS","BARBER COUNTY",1,25.03
"Barbour:AL","CITY OF EUFAULA",1,2
"Barbour:AL","SOUTHEAST WASTE DISPOSAL",1,70
"Barbour:WV","CITY OF PHILIPPI",1,20.26
"Barnes:ND","CITY OF VALLEY CITY",1,63
"Barnwell:SC","BARNWELL COUNTY",1,49.31
"Barry:MI","WM",1,139.49
"Barton:KS","BARTON COUNTY",1,130.3
"Barton:KS","FIRST STEP RECYCLING",1,12.5
"Barton:MO","REPUB",1,1882.64
"Bastrop:TX","BASTROP COUNTY",1,1
"Bastrop:TX","WCNX",1,63
"Bath:VA","BATH COUNTY",1,13.1
"Baxter:AR","RLH SANITATION",1,0
"Baxter:AR","WCNX",1,63
